dedup_id,representative_keyword,source,title,description,content_type,job_related_score,job_related_reason,link
doc_003493,React,cafe,"Vue, <b>React</b> 선택 기로 질문입니다.","<b>React</b>는 2년전에 컴포넌트 퍼블리싱만 했었습니다. 이번에 회사를 그만두고 이직 준비를 하고 있는대, 이직 시장에서 vue/nuxt보다는 확연히 <b>React</b>/Next가 많은 것 같습니다. 그리고 한두달내로 이직을 목표로 하고... ",기타,0.45,핵심 취업 신호: 이직 / 보조 준비 신호: 준비,http://cafe.naver.com/hacosa/328974
doc_008838,SQLD,kin,"DAsP, ADsp, <b>SQLD</b> 가장 쉬운 자격증","... APsP, <b>SQLD</b> 셋 중에 하나를 취득하고 싶은데 가장 쉽게 딸 수 있는 자격증이 뭔가요? 이번 년도에 <b>SQLD</b> 마지막... 그냥 하던 <b>SQLD</b> 공부나 계속 하는 게 나을까요? 내공 200... 있으니 <b>SQLD</b> 다시 도전해보시고 자격요건이 된다면 SQLP... ",취업 고민/질문,0.55,"보조 준비 신호: 자격증, 공부 / 개인 경험 서술 문맥 포함",https://kin.naver.com/qna/detail.naver?d1id=4&dirId=40602&docId=432715752&qb=U1FMRA==&enc=utf8
doc_009009,TOEIC,kin,<b>TOEIC</b> 점수 올리는 방법 알려주세요!,"... 지금 졸업을 앞두고 슬슬 <b>TOEIC</b> 준비를 하고 있는 학생인데요, 지금까지 <b>TOEIC</b> 시험을 몇번 봤는데 나름 공부했다고... <b>TOEIC</b>이 비교적 다른 영어 자격증들에 비해서 난이도가 낮다고는 하지만 분명 <b>TOEIC</b>도 영어실력이 제대로 받쳐줘야... ",취업 고민/질문,0.7,"보조 준비 신호: 자격증, 공부, 준비 / 질문/고민 문맥 포함",https://kin.naver.com/qna/detail.naver?d1id=11&dirId=11080308&docId=349815164&qb=VE9FSUM=&enc=utf8
doc_006998,LLM,kin,미국 로스쿨 <b>LLM</b>,"... 로스쿨 <b>LLM</b> 과정에 진학하고 싶습니다. 조사를 해보니 온캠퍼스로 1년... 감안했을때 <b>LLM</b> 과정에 투자할 가치가 있을지 전문가분들의 솔직한 조언을... 미국 <b>LLM</b>은 가치 있는 과정이지만, 실제 취업까지는 많은 준비가 필요해요. 현지... ",취업 고민/질문,0.7,핵심 취업 신호: 취업 / 보조 준비 신호: 준비 / 질문/고민 문맥 포함,https://kin.naver.com/qna/detail.naver?d1id=11&dirId=110602&docId=480299290&qb=TExN&enc=utf8
doc_004094,Boot,cafe,z플립5 5g fastboot 지원하나요?,질문 대상 ▶ z플립5 5g fastboot 질문 키워드 ▶ fastboot 지원여부 질문 내용 ▼ z플립5가 FASTboot 지원하나요? 안쓴지도 오래 되었는데 쓰고싶어요,취업 고민/질문,0.45,핵심 취업 신호: 지원 / 질문/고민 문맥 포함,http://cafe.naver.com/develoid/1035873
doc_007349,Kubernetes,kin,클라우드취업,"... 쿠버네티스(<b>Kubernetes</b>) - 쿠버네티스는 컨테이너화된 애플리케이션의 배포, 관리, 확장을 자동화하는 오픈소스 시스템입니다. 즉, 여러 컴퓨터에 걸쳐 애플리케이션을 쉽게 배포하고 관리할 수 있게 해줍니다. 노드(Node.js) - Node.... ",취업 고민/질문,0.4,핵심 취업 신호: 취업,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=40608&docId=363917799&qb=S3ViZXJuZXRlcw==&enc=utf8
doc_008586,중국어,kin,<b>중국어</b> 자격증 어떻게 따나요?,"저는 고1이고 <b>중국어</b> 자격증을 따고싶은데 어떻게 준비를 해야할까요? <b>중국어</b> 시험의 경우, 취업, 진학(유학) 등에 일반적으로 적용되는 시험은 HSK입니다. 그리고 <b>중국어</b>... 수능 직후부터 검증된 학원의 수업을 병행하면서 <b>중국어</b> 공부를... ",교육/학원 홍보,1.0,"핵심 취업 신호: 취업 / 보조 준비 신호: 자격증, 공부, 준비 / 개인 경험 서술 문맥 포함 / 질문/고민 문맥 포함",https://kin.naver.com/qna/detail.naver?d1id=11&dirId=11080507&docId=493779901&qb=7KSR6rWt7Ja0&enc=utf8
doc_005458,TOEIC Speaking,cafe,OPIC과 <b>TOEIC Speaking</b>..,여기서 opic공부를 더해서 레벨을 올려야할지 아니면 <b>toeic speaking</b>을 준비해야할지 서류는 이미 있으니 회화공부를 좀 더 하는게 나을지.. 고민되네요;ㅅ;... ,기타,0.75,"핵심 취업 신호: 서류 / 보조 준비 신호: 공부, 준비 / 질문/고민 문맥 포함",http://cafe.naver.com/dokchi/422143
doc_000253,SQL,blog,"90% 국비 지원으로 시작하는, <b>SQL</b> 입문부터 실무까지","도구인 <b>SQL</b>을 배우고자 하는 분들이 꾸준히 늘어나고 있는데요. 다만, 바쁜 일상 속에서 학습 시간을 확보하기 어렵거나 비전공자라는 이유로 시작을 망설이시는 분들도 많습니다. 그래서 오늘은  <b>SQL</b>이... ",교육/학원 홍보,1.0,"핵심 취업 신호: 지원, 비전공자, 국비 / 보조 준비 신호: 실무",https://blog.naver.com/qrhackers/224260970629
doc_002818,리눅스마스터,blog,학점은행제 <b>리눅스마스터</b> 2급 난이도는? 비전공자 공부법부터... ,<b>리눅스마스터</b> 2급은 리눅스 운영체제의 기초적인 이해를 평가하는 시험입니다. IT 자격증이라고 해서 프로그래밍을 잘해야 하는 시험은 아닙니다. 주로 다음과 같은 내용을 평가합니다. 리눅스 기본 개념... ,기타,0.6,"핵심 취업 신호: 비전공자 / 보조 준비 신호: 자격증, 공부",https://blog.naver.com/rmser391/224347659379
doc_008998,TOEIC,kin,<b>TOEIC</b> 600점대 벗어나고 싶어요.,가뜩이나 취업도 스트레스인데 <b>TOEIC</b>점수도 오르지 않아... 온라인에서 <b>TOEIC</b> 공부를 했을 때 오히려 점수가 잘 나왔거든요. 이 점수도 그나마 만료가 돼가서 꼭 <b>TOEIC</b> 공부를... <b>TOEIC</b>은 암기도 필요하지만 스피킹과 문법에 대한 이해가... ,취업 고민/질문,0.55,핵심 취업 신호: 취업 / 보조 준비 신호: 공부,https://kin.naver.com/qna/detail.naver?d1id=11&dirId=11080308&docId=363230407&qb=VE9FSUM=&enc=utf8
doc_007023,LLM,kin,JD과정과 <b>LLM</b>과정(미국 Law School),"... JD과정을 마치고 <b>LLM</b>과정을 또 할 수있다는데 그건 꼭해야하는 건가요?... <b>LLM</b>은 이미 법학사 학위를 가지고 있는 해외 유학생들을 대상으로 하는... JD 졸업자들은 <b>LLM</b>을 따로 하는 경우는 드물며, 바로 취업을 하는 것이... ",취업 고민/질문,0.4,핵심 취업 신호: 취업,https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60217&docId=293402312&qb=TExN&enc=utf8
doc_005923,TOEIC,cafe,전기직 공기업 <b>TOEIC</b> 점수..,이번에 <b>TOEIC</b> 딱 700인데 지원자격 700이상이라는 것이 700이 만점인가요?? 아니면 700이상은 다 점수가 같은건지 궁금합니다!!,취업 고민/질문,0.45,핵심 취업 신호: 지원 / 질문/고민 문맥 포함,http://cafe.naver.com/studentstudyhard/2444193
doc_002798,리눅스마스터,blog,개발 직군 직장인이 공부 안 하고 본 &lt;<b>리눅스마스터</b> 2급&gt; 1차... ,"2급 시험과목 내가 준비하는 건 &lt;<b>리눅스마스터</b> 2급&gt; 이니까 2급 기준으로 설명드리자면, 1차 (온라인) ' 리눅스 일반 ' 과목에 관한 문제가 출제됨. 2주 정도 되는 시험기간 중에 편한 날에 온라인 시험에... ",개인 후기,0.45,"보조 준비 신호: 공부, 준비 / 개인 경험 서술 문맥 포함",https://blog.naver.com/lio97/224081224029
doc_003840,AWS,cafe,<b>AWS</b> 정확히 뭔가요?,"<b>AWS</b> 정확히 뭔가요? AI 국비 강의 검색하다보면 강의명에 <b>AWS</b> 자주 등장하길래 궁금해서요. 클라우드 관련된 거라고는 얼핏 알고있는데, 정확히 뭘 하는건지 잘 모르겠어요. 비전공자인 제가 들어도 알 수 있게... ",교육/학원 홍보,0.9,"핵심 취업 신호: 비전공자, 국비 / 개인 경험 서술 문맥 포함 / 질문/고민 문맥 포함",http://cafe.naver.com/kkaebangjeong/222056
doc_005896,리눅스마스터,cafe,<b>리눅스 마스터</b> 2급 준비중입니다.,처음 해보는 컴퓨터 관련 공부에 정신이 없습니다 혹시 <b>리눅스 마스터</b> 관련 계열이나 취득 추천하는 자격증 아시는 것 있으시면 추천부탁드립니다.,기타,0.6,"보조 준비 신호: 자격증, 공부, 준비 / 질문/고민 문맥 포함",http://cafe.naver.com/yjbooks/212202
doc_002465,TOEIC Speaking,blog,<b>TOEIC Speaking</b> 토익스피킹 레벨 점수 체계와 교재 추천!,":) <b>TOEIC Speaking</b>을 준비하는 분들은 주목! 이번 포스팅에서는 토익스피킹 레벨 체계가 개정 전후로 어떻게 달라졌는지 알아보고, 목표로 하면 좋을 등급을 추천드리려 합니다! 여기에 공부에 좋은 해커스... ",기타,0.45,"보조 준비 신호: 공부, 준비 / 질문/고민 문맥 포함",https://blog.naver.com/hackersingang/223408956910
doc_006470,Java,kin,올해2월에 졸업예정인데 IT(<b>JAVA</b>)국비지원학원 등록이... ,"올해2월에 졸업예정인데 IT(<b>JAVA</b>)국비지원학원 등록이 가능한가요?? 지금... 졸업예정자 미취업자 IT <b>JAVA</b>국비지원학원 등록 컴퓨터프로그래머... 정보처리 ) - 정품SW, 전임강사, 최고시설, IT전문교육 - 국비지원무료 ( 정보보안, <b>JAVA</b>... ",교육/학원 홍보,1.0,"핵심 취업 신호: 취업, 지원, 국비",https://kin.naver.com/qna/detail.naver?d1id=1&dirId=1040201&docId=69296716&qb=SmF2YQ==&enc=utf8
doc_002513,중국어,blog,"<b>중국어</b> 노베이스도 가능한 HSK4급 한달합격, 첫 주 수업 후기",<b>중국어</b> 노베이스도 HSK4급 한달 합격 전문 동동쌤입니다. 8월 23일 HSK4급 합격목표 저녁반이 월요일에... 대부분의 수강생 분들이 <b>중국어</b>를 아예 모르는 노베이스 단계입니다. 수업 첫 날은 <b>중국어</b> 성조와 발음... ,교육/학원 홍보,0.45,핵심 취업 신호: 합격 / 개인 경험 서술 문맥 포함,https://blog.naver.com/jin_sa/224335451338
doc_006261,SQL,kin,"<b>SQL</b>, 정보처리산업기사 취업 어디로 하나요?","컴활 1급, <b>SQL</b>, 정보처리산업기사 자격증 있는데 보통 어떤... 보통 <b>SQL</b> 활용해서 데이터 추출 및 분석 파트로 많이 취업... 적어주신 자격증으로만 보면 <b>SQL</b> 활용해서 취업하시는게 좋을거 같은데 채용 사이트에 <b>SQL</b> 적어보시면 엄청 나와요",취업 고민/질문,1.0,"핵심 취업 신호: 취업, 채용 / 보조 준비 신호: 자격증 / 질문/고민 문맥 포함",https://kin.naver.com/qna/detail.naver?d1id=1&dirId=111&docId=451333131&qb=U1FM&enc=utf8
doc_006022,JavaScript,kin,html/css/javascript 관련 질문입니다.,안녕하세요! html/css/javascript 공부 중 궁금한게 있습니다. html은 초기 작성 할 시 '!+tab' 하게되면 기본 시트가 생성되는데 css와 javascript는 이러한 기본시트 생성 단축키가 있을까요? 알려주세요! _(__)_ 해당... ,취업 고민/질문,0.4,보조 준비 신호: 공부 / 질문/고민 문맥 포함,https://kin.naver.com/qna/detail.naver?d1id=1&dirId=1040202&docId=468929790&qb=SmF2YVNjcmlwdA==&enc=utf8
doc_008681,중국어,kin,현재 고1 선택과목 <b>중국어</b> ㄷ 일본어,... 후회한다고 <b>중국어</b>로 무조건 무조건 하라 했는데 제가 보기엔 <b>중국어</b>가 훨씬 어렵고 끝도 없어보이는데 뭘... 후회한다고 <b>중국어</b>로 무조건 무조건 하라 했는데 &gt; 이건... 여긴 <b>중국어</b> 공부시험 카테고리 답변자들이 다 <b>중국어</b>를 배운... ,취업 고민/질문,0.4,보조 준비 신호: 공부 / 개인 경험 서술 문맥 포함,https://kin.naver.com/qna/detail.naver?d1id=11&dirId=11080507&docId=488724882&qb=7KSR6rWt7Ja0&enc=utf8
doc_005325,AWS Certified,cafe,<b>AWS Certified</b> Solutions Architect - Professional 합격후기,구분 : <b>AWS Certified</b> Solutions Architect - Professional 합격후기 시험과목 : AWS 시험코드 : CAP-C01 시험일시 : 2022/10/07 시험장소 : SRTC 시험점수 : 866 참고덤프 : AWS SAP-C01 V28.35 참고사항 : 덤프 구매는 8월에 구매하였으나.... ,개인 후기,0.45,핵심 취업 신호: 합격 / 개인 경험 서술 문맥 포함,http://cafe.naver.com/sdk800402/397657
doc_002030,정보보안기사,blog,"<b>정보보안기사</b> 응시자격, 쉽고 빠르게 갖춘 비결(비전공자)","제가, 보안 전문가라는 새로운 꿈을 위해 반드시 넘어야 했던 <b>정보보안기사</b> 응시자격 준비 과정을... 그때부터 구체적인 정보를 하나씩 수집하기 시작했습니다. 2. 비전공자에게는 너무나 높았던 <b>정보보안기사</b>... ",개인 후기,0.6,핵심 취업 신호: 비전공자 / 보조 준비 신호: 준비 / 개인 경험 서술 문맥 포함,https://blog.naver.com/2xhdxhd/224220670629
doc_007458,Node.js,kin,"react 와 <b>node</b>,<b>js</b> 질문좀 드릴게요 급해요",... react 는 현재 공부를 하는중이고 <b>node.js</b> 로 포트폴리오를 만들었습니다. 현재 7월달 학원과정을 선택해야 하는데요 한개는 프론트중심의 react로 웹과 앱을 만드는 과정있고요 저는 앱을 해보지 않았습니다. 나머지 한개는 react 와... ,교육/학원 홍보,0.4,보조 준비 신호: 공부 / 개인 경험 서술 문맥 포함,https://kin.naver.com/qna/detail.naver?d1id=1&dirId=10401&docId=449655668&qb=Tm9kZS5qcw==&enc=utf8
doc_008338,일본어,kin,<b>일본어</b> 공부,"안녕하세엿 <b>일본어</b>에 관심이 많은 학생입니다 제가 요즘 <b>일본어</b>에 푹 빠져서... 그런데 인스타에 막 <b>일본어</b> 1대1 전화 과외 광고가 뜨더라구요? 혹시 해보신... 왜냐하면, 여기 계신 분들은 그런 전화 <b>일본어</b>라기 보다는, 옛날 교재 같은... ",취업 고민/질문,0.4,보조 준비 신호: 공부 / 개인 경험 서술 문맥 포함,https://kin.naver.com/qna/detail.naver?d1id=11&dirId=11080407&docId=493518511&qb=7J2867O47Ja0&enc=utf8
doc_002704,SQLD,blog,<b>SQLD</b> 공부방법ㅣ비전공자의 해커스 인강 벼락치기 합격 후기... ,오늘은 취업 시장에서 데이터 역량이 중요해짐에 따라 가장 핫한 자격증인 <b>SQLD</b> 정보를 준비해... <b>SQLD</b> 자격증 기본 정보 본격적인 후기에 앞서 시험에 대한 객관적인 데이터를 먼저 살펴볼까요? <b>SQLD</b>는 응시... ,개인 후기,1.0,"핵심 취업 신호: 취업, 합격, 비전공자 / 보조 준비 신호: 자격증, 공부, 준비 / 개인 경험 서술 문맥 포함",https://blog.naver.com/giveapeck/224266426942
doc_006456,Java,kin,<b>java</b> 수강 후 취업 어디로해야하나요? 솔루션? S... ,"저는 학원에서 Eclipse를 사용한 <b>JAVA</b>와 Spring Framework, Mysql을 사용한 DB 활용, SQL 활용, 응용 SW 기초기술 활용... 채용 (<b>JAVA</b>/C#/.NET) 이 두개가 있더군요.. 업무내용을 보니 둘 다 <b>JAVA</b>는 포함이던데 어디에다 지원해야되나요? <b>Java</b>... ",교육/학원 홍보,1.0,"핵심 취업 신호: 취업, 지원, 채용 / 개인 경험 서술 문맥 포함 / 질문/고민 문맥 포함",https://kin.naver.com/qna/detail.naver?d1id=1&dirId=1040201&docId=438244416&qb=SmF2YQ==&enc=utf8
